name,accuracy,f1_hateful,macro_f1,auroc
1. TF-IDF + LR (text),0.56,0.4634146341463415,0.5452666391070691,0.593936
2. RoBERTa (text only),0.548,0.33136094674556216,0.4949856093244427,0.6446240000000001
3. CLIP image + linear (img),0.564,0.46568627450980393,0.5487215156332803,0.6474559999999999
4. CLIP simple concat fusion,0.634,0.5831435079726651,0.6284701497082577,0.699584
